offensiveYN,post
0,RT @rihanna: I ain't got no type...bad bitches is the only thing that I like
0,RT @rihanna: I ain't got no type...bad bitches is the only thing that I like
0,RT @rihanna: I ain't got no type...bad bitches is the only thing that I like
0,RT @_danieebro: all these bitches fake if you ask me
0,RT @__nijel: Niggas be out here loving ALL they hoes...that's a no no.
0,Up too early the damn birds are still chirping smh.
0,Up too early the damn birds are still chirping smh.
0,"I respect any nigga that tell me he got a bitch , so I fall the fuck back no hating &#128175;"
0,"I respect any nigga that tell me he got a bitch , so I fall the fuck back no hating &#128175;"
0,"RT @Soy_Brent: steal a nigga's bitch, don't steal a nigga's tweets."
0,&#128588; RT @iDO_me2: this vodka be having all the hoes bent over&#128553;&#128131;
0,people be shooting their guns around here late as fuck got me thinking they tryna shoot my black ass 4 jammin jiggaboo music
0,people be shooting their guns around here late as fuck got me thinking they tryna shoot my black ass 4 jammin jiggaboo music
0,I'm flexin on these bitches all gold bottles no Bombay
0,@ConanOBrien dat is one ugly animal but da monkey is adorable.
0,@ConanOBrien dat is one ugly animal but da monkey is adorable.
0,"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot."""
0,"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot."""
0,"Like the song French, ""got all the black bitches mad because my main bitch strawberry"" Lololol"
0,"Like the song French, ""got all the black bitches mad because my main bitch strawberry"" Lololol"
0,Want to cry cause of the girls at La fitness ... Imma bitch
0,Going to the creek with my bitches tomorrow
0,TCBY with these hoes &#128149; || @arabellaann @jackireininga http://t.co/aUVQnOGvdY
0,TCBY with these hoes &#128149; || @arabellaann @jackireininga http://t.co/aUVQnOGvdY
0,"@jimachterfeld @mattabbatacola Like I said, pussies."
0,@blackrepublican how long after the name change will al memorabilia w/redskins name be deemed racist and therby illegal?
0,I like saying the word pussy hoe ion no why!!!
0,RT @SexyKarenFisher: Oh it's Saturday funny time! You better redneck necognize! http://t.co/qc4mgs3ejp
0,RT @SexyKarenFisher: Oh it's Saturday funny time! You better redneck necognize! http://t.co/qc4mgs3ejp
0,"When you have everything they want &amp; you're doing everything they can't, bitches are going to talk shit. Don't let them stop your shine"
0,"When you have everything they want &amp; you're doing everything they can't, bitches are going to talk shit. Don't let them stop your shine"
0,Tell a itty bitty bitch pipe down
0,RT @TDill11: These hoes ain't got nothin' on ya &#127926;
0,RT @TDill11: These hoes ain't got nothin' on ya &#127926;
0,I'm so faded my nigga I'm about to disappear in this bitch
0,I'm so faded my nigga I'm about to disappear in this bitch
0,Bitches bitches bitches
0,Bitches bitches bitches
0,@justezzzee that nigga ain't no fucking champ he a straight up bitch who not bout shit # bitch made!
0,Idk how bitches trust other bitches sooo easily. I still have the same friends.
0,RT @If_ItAint_B: Message to the homies...dont blow a good girl. Having hoes is childish...in the end they do nothing for you either.
0,@Chefboyrnach Vegeta a super hoe then. But he did snack Goni up something fierce during Buu saga :wow:
0,@Chefboyrnach Vegeta a super hoe then. But he did snack Goni up something fierce during Buu saga :wow:
0,@Chefboyrnach Vegeta a super hoe then. But he did snack Goni up something fierce during Buu saga :wow:
0,ion care who my niggas date b if the bitch make you happy and you cool with her then do you
0,"RT @VineForTheByrd: Bae: go text your hoes 
Me: https://t.co/5hetoweSES"
0,"RT @VineForTheByrd: Bae: go text your hoes 
Me: https://t.co/5hetoweSES"
0,@Aydren cause you're a sexy bitch
0,@Aydren cause you're a sexy bitch
0,@Aydren cause you're a sexy bitch
0,If she a hoe I'm a hoe.
0,"""How hotter than is it?"" ""A bitch."""
0,RT @LittleMissAriee: after bitches get da dick they be dickmatized!
0,RT @LittleMissAriee: after bitches get da dick they be dickmatized!
0,RT @LittleMissAriee: after bitches get da dick they be dickmatized!
